,IdSell,SellerG,Date,Price,Method,Type,Rooms,Bathroom,Bedroom2,Car,Landsize,BuildingArea,YearBuilt
0,0003685,Biggin,3/12/2016,1480000.0,S,h,2,1.0,2.0,1.0,202.0,,
1,0475739,Biggin,4/02/2016,1035000.0,S,h,2,1.0,2.0,0.0,156.0,79.0,1900.0
2,0011898,Biggin,4/03/2017,1465000.0,SP,h,3,2.0,3.0,0.0,134.0,150.0,1900.0
3,0103182,Biggin,4/03/2017,850000.0,PI,h,3,2.0,3.0,1.0,94.0,,
4,0472955,Nelson,4/06/2016,1600000.0,VB,h,4,1.0,3.0,2.0,120.0,142.0,2014.0
5,0885226,Jellis,7/05/2016,941000.0,S,h,2,1.0,2.0,0.0,181.0,,
6,0790248,Nelson,7/05/2016,1876000.0,S,h,3,2.0,4.0,0.0,245.0,210.0,1910.0
7,0744241,Nelson,8/10/2016,1636000.0,S,h,2,1.0,2.0,2.0,256.0,107.0,1890.0
8,0081263,Biggin,8/10/2016,300000.0,S,u,1,1.0,1.0,1.0,0.0,,
9,0703959,Biggin,8/10/2016,1097000.0,S,h,2,1.0,3.0,2.0,220.0,75.0,1900.0
10,0444076,Jellis,12/11/2016,700000.0,VB,u,2,2.0,2.0,1.0,0.0,,
11,0056205,Nelson,12/11/2016,1350000.0,VB,h,3,2.0,3.0,2.0,214.0,190.0,2005.0
12,0350978,Biggin,12/11/2016,750000.0,S,u,2,2.0,2.0,1.0,0.0,94.0,2009.0
13,0757240,Biggin,13/08/2016,1172500.0,S,h,2,1.0,2.0,1.0,195.0,,
14,0294089,Greg,14/05/2016,441000.0,SP,u,1,1.0,1.0,1.0,0.0,,
15,0918326,Jellis,15/10/2016,1310000.0,S,h,2,1.0,2.0,2.0,238.0,97.0,1890.0
16,0060274,Jellis,16/07/2016,1200000.0,S,h,3,2.0,3.0,1.0,113.0,110.0,1880.0
17,0257772,LITTLE,16/07/2016,1176500.0,S,h,3,1.0,2.0,1.0,138.0,105.0,1890.0
18,0655807,Collins,17/09/2016,955000.0,S,h,3,1.0,3.0,0.0,183.0,,
19,0705378,Biggin,17/09/2016,890000.0,S,h,2,1.0,2.0,1.0,150.0,73.0,1985.0
20,0652261,Kay,18/03/2017,1330000.0,PI,h,4,2.0,4.0,2.0,780.0,135.0,1900.0
21,0633989,Beller,18/03/2017,900000.0,S,t,3,2.0,3.0,2.0,0.0,,2010.0
22,0333169,Jellis,18/03/2017,1090000.0,S,u,3,2.0,3.0,2.0,4290.0,27.0,
23,0457707,Collins,18/06/2016,500000.0,S,u,2,1.0,2.0,1.0,0.0,60.0,1970.0
24,0787264,Biggin,18/06/2016,1100000.0,PI,h,2,2.0,2.0,1.0,124.0,135.0,2013.0
25,0784297,Marshall,19/11/2016,1315000.0,S,h,2,1.0,2.0,0.0,147.0,85.0,1900.0
26,0643887,Greg,22/08/2016,426000.0,SP,u,1,1.0,1.0,1.0,0.0,,
27,0737247,Nelson,22/08/2016,1447500.0,PI,h,3,3.0,3.0,1.0,166.0,174.0,2012.0
28,0456796,Jellis,22/08/2016,457000.0,S,u,1,1.0,1.0,1.0,0.0,50.0,
29,0553483,Nelson,22/08/2016,1135000.0,S,h,2,2.0,2.0,2.0,98.0,128.0,1920.0
30,0728162,Collins,24/09/2016,1542000.0,S,h,4,3.0,4.0,1.0,0.0,,
31,0161801,Biggin,25/02/2017,1290000.0,S,h,3,2.0,3.0,2.0,147.0,18.0,
32,0486399,Biggin,25/02/2017,1290000.0,S,h,3,1.0,3.0,1.0,168.0,124.0,1950.0
33,0514828,Nelson,26/07/2016,470000.0,S,u,1,1.0,1.0,1.0,0.0,50.0,2013.0
34,0493641,Jellis,27/11/2016,1180000.0,S,h,2,1.0,2.0,0.0,162.0,91.0,1900.0
35,0207409,Jellis,27/11/2016,1195000.0,SP,h,3,2.0,3.0,1.0,120.0,128.0,1998.0
36,0416354,Nelson,28/05/2016,1012500.0,S,h,2,1.0,2.0,0.0,182.0,82.0,1900.0
37,0140316,Biggin,30/07/2016,1030000.0,S,h,2,1.0,2.0,1.0,172.0,81.0,1930.0
38,0461230,Nelson,3/09/2016,840000.0,PI,t,3,2.0,3.0,1.0,303.0,225.0,2016.0
39,0840332,Nelson,3/12/2016,730000.0,VB,h,3,2.0,3.0,1.0,0.0,145.0,1965.0
40,0511954,Nelson,4/03/2017,770000.0,SP,h,3,2.0,3.0,1.0,0.0,145.0,1965.0
41,0090997,Nelson,4/03/2017,603000.0,S,h,2,1.0,2.0,1.0,272.0,84.0,1950.0
42,0198127,Brad,4/03/2017,700000.0,S,t,3,2.0,3.0,2.0,239.0,134.0,2009.0
43,0844111,Maddison,4/03/2017,600000.0,S,h,3,1.0,2.0,1.0,290.0,116.0,1980.0
44,0752186,Barry,4/03/2017,500000.0,VB,u,2,1.0,2.0,1.0,168.0,86.0,2011.0
45,0820033,Barry,6/08/2016,720000.0,S,h,3,1.0,2.0,1.0,620.0,,
46,0326662,Considine,6/08/2016,785000.0,S,h,4,1.0,3.0,2.0,597.0,127.0,
47,0807989,Barry,7/05/2016,725000.0,SP,h,6,3.0,6.0,2.0,976.0,186.0,1980.0
48,0503807,Barry,7/05/2016,450000.0,S,t,2,1.0,2.0,1.0,110.0,90.0,2015.0
49,0239869,Barry,7/11/2016,515000.0,S,u,2,1.0,2.0,1.0,141.0,73.0,2013.0
50,0890687,Nelson,10/09/2016,530000.0,S,u,2,1.0,2.0,1.0,120.0,94.0,2012.0
51,0366979,Rendina,10/09/2016,895000.0,PI,h,3,1.0,3.0,6.0,1063.0,133.0,1975.0
52,0256110,Nelson,10/12/2016,805000.0,S,h,3,1.0,3.0,1.0,0.0,105.0,1950.0
53,0795383,Nelson,11/02/2017,752000.0,S,u,3,1.0,3.0,1.0,265.0,130.0,1993.0
54,0501125,Barry,13/08/2016,440000.0,S,u,2,1.0,2.0,1.0,192.0,,
55,0159602,Propertyau,14/05/2016,755000.0,PI,h,5,2.0,3.0,2.0,596.0,,
56,0529528,Brad,15/10/2016,700000.0,PI,t,3,2.0,3.0,2.0,165.0,133.0,2009.0
57,0316931,Barry,16/04/2016,830000.0,S,h,3,1.0,3.0,2.0,971.0,113.0,1960.0
58,0181159,Barry,16/07/2016,462500.0,S,u,2,1.0,2.0,1.0,164.0,,2003.0
59,0069745,Barry,16/07/2016,670000.0,SP,h,3,2.0,3.0,2.0,657.0,,
60,0268596,Barry,16/07/2016,675000.0,S,h,2,1.0,2.0,1.0,612.0,100.0,1975.0
61,0698616,Nelson,16/07/2016,1042000.0,S,h,3,2.0,3.0,5.0,612.0,174.0,1950.0
