,IdSell,SellerG,Date,Price,Method,Type,Rooms,Distance,Bathroom,Bedroom2,Car,Landsize,BuildingArea,YearBuilt
0,0609646,Biggin,3/12/2016,1480000.0,S,h,2,2.5,1.0,2.0,1.0,202.0,,
1,0523066,Biggin,4/02/2016,1035000.0,S,h,2,2.5,1.0,2.0,0.0,156.0,79.0,1900.0
2,0291823,Biggin,4/03/2017,1465000.0,SP,h,3,2.5,2.0,3.0,0.0,134.0,150.0,1900.0
3,0652155,Biggin,4/03/2017,850000.0,PI,h,3,2.5,2.0,3.0,1.0,94.0,,
4,0416297,Nelson,4/06/2016,1600000.0,VB,h,4,2.5,1.0,3.0,2.0,120.0,142.0,2014.0
5,0246561,Jellis,7/05/2016,941000.0,S,h,2,2.5,1.0,2.0,0.0,181.0,,
6,0118422,Nelson,7/05/2016,1876000.0,S,h,3,2.5,2.0,4.0,0.0,245.0,210.0,1910.0
7,0271500,Nelson,8/10/2016,1636000.0,S,h,2,2.5,1.0,2.0,2.0,256.0,107.0,1890.0
8,0931653,Biggin,8/10/2016,300000.0,S,u,1,2.5,1.0,1.0,1.0,0.0,,
9,0496252,Biggin,8/10/2016,1097000.0,S,h,2,2.5,1.0,3.0,2.0,220.0,75.0,1900.0
10,0966831,Jellis,12/11/2016,700000.0,VB,u,2,2.5,2.0,2.0,1.0,0.0,,
11,0622554,Nelson,12/11/2016,1350000.0,VB,h,3,2.5,2.0,3.0,2.0,214.0,190.0,2005.0
12,0008636,Biggin,12/11/2016,750000.0,S,u,2,2.5,2.0,2.0,1.0,0.0,94.0,2009.0
13,0133625,Biggin,13/08/2016,1172500.0,S,h,2,2.5,1.0,2.0,1.0,195.0,,
14,0883207,Greg,14/05/2016,441000.0,SP,u,1,2.5,1.0,1.0,1.0,0.0,,
15,0537793,Jellis,15/10/2016,1310000.0,S,h,2,2.5,1.0,2.0,2.0,238.0,97.0,1890.0
16,0829707,Jellis,16/07/2016,1200000.0,S,h,3,2.5,2.0,3.0,1.0,113.0,110.0,1880.0
17,0180781,LITTLE,16/07/2016,1176500.0,S,h,3,2.5,1.0,2.0,1.0,138.0,105.0,1890.0
18,0339586,Collins,17/09/2016,955000.0,S,h,3,2.5,1.0,3.0,0.0,183.0,,
19,0169357,Biggin,17/09/2016,890000.0,S,h,2,2.5,1.0,2.0,1.0,150.0,73.0,1985.0
20,0860637,Kay,18/03/2017,1330000.0,PI,h,4,2.5,2.0,4.0,2.0,780.0,135.0,1900.0
21,0049189,Beller,18/03/2017,900000.0,S,t,3,2.5,2.0,3.0,2.0,0.0,,2010.0
22,0379142,Jellis,18/03/2017,1090000.0,S,u,3,2.5,2.0,3.0,2.0,4290.0,27.0,
23,0405951,Collins,18/06/2016,500000.0,S,u,2,2.5,1.0,2.0,1.0,0.0,60.0,1970.0
24,0454484,Biggin,18/06/2016,1100000.0,PI,h,2,2.5,2.0,2.0,1.0,124.0,135.0,2013.0
25,0551177,Marshall,19/11/2016,1315000.0,S,h,2,2.5,1.0,2.0,0.0,147.0,85.0,1900.0
26,0427376,Greg,22/08/2016,426000.0,SP,u,1,2.5,1.0,1.0,1.0,0.0,,
27,0008856,Nelson,22/08/2016,1447500.0,PI,h,3,2.5,3.0,3.0,1.0,166.0,174.0,2012.0
28,0380173,Jellis,22/08/2016,457000.0,S,u,1,2.5,1.0,1.0,1.0,0.0,50.0,
29,0531163,Nelson,22/08/2016,1135000.0,S,h,2,2.5,2.0,2.0,2.0,98.0,128.0,1920.0
30,0213988,Collins,24/09/2016,1542000.0,S,h,4,2.5,3.0,4.0,1.0,0.0,,
31,0040589,Biggin,25/02/2017,1290000.0,S,h,3,2.5,2.0,3.0,2.0,147.0,18.0,
32,0858813,Biggin,25/02/2017,1290000.0,S,h,3,2.5,1.0,3.0,1.0,168.0,124.0,1950.0
33,0080504,Nelson,26/07/2016,470000.0,S,u,1,2.5,1.0,1.0,1.0,0.0,50.0,2013.0
34,0333416,Jellis,27/11/2016,1180000.0,S,h,2,2.5,1.0,2.0,0.0,162.0,91.0,1900.0
35,0305633,Jellis,27/11/2016,1195000.0,SP,h,3,2.5,2.0,3.0,1.0,120.0,128.0,1998.0
36,0554034,Nelson,28/05/2016,1012500.0,S,h,2,2.5,1.0,2.0,0.0,182.0,82.0,1900.0
37,0459656,Biggin,30/07/2016,1030000.0,S,h,2,2.5,1.0,2.0,1.0,172.0,81.0,1930.0
38,0711384,Nelson,3/09/2016,840000.0,PI,t,3,13.5,2.0,3.0,1.0,303.0,225.0,2016.0
39,0926345,Nelson,3/12/2016,730000.0,VB,h,3,13.5,2.0,3.0,1.0,0.0,145.0,1965.0
40,0656900,Nelson,4/03/2017,770000.0,SP,h,3,13.5,2.0,3.0,1.0,0.0,145.0,1965.0
41,0961811,Nelson,4/03/2017,603000.0,S,h,2,13.5,1.0,2.0,1.0,272.0,84.0,1950.0
